SUBJECT: DK738 BASELINE
DATE: 24-Sep-2013

START TIME: 15:41:54

SCALE (pixels/cm): 7.0003
RESOLUTION (pixels): 800x600
BOUNDS (pixels): (0,0), (0,600), (800,600), (800,0)

TIME_(s)	X_POSITION_(cm)	Y_POSITION_(cm)	ORIENTATION_(degrees)	LENGTH_(cm)
0.000	71.26	69.35	-29.85	8.80
0.267	71.68	69.65	-23.14	7.84
0.533	70.88	69.70	12.57	7.93
0.667	70.25	70.17	17.62	8.17
0.733	69.83	70.57	18.76	8.23
0.800	69.28	71.04	20.54	8.00
0.867	68.84	71.31	20.72	8.01
1.000	68.30	71.54	24.17	8.13
1.133	67.79	71.87	26.88	8.81
1.267	67.22	72.52	27.74	8.77
1.400	66.58	73.11	28.64	8.82
1.467	66.13	73.45	28.37	8.99
1.533	65.72	73.73	28.85	8.98
1.933	66.22	73.72	31.68	7.93
2.133	66.81	73.62	39.18	7.23
2.467	67.41	73.92	63.13	6.97
2.733	68.05	74.09	81.25	7.24
2.933	68.63	74.43	-84.33	7.69
3.400	68.30	73.84	70.97	6.84
3.533	67.92	73.42	47.43	6.59
3.867	67.36	73.41	23.50	7.32
4.000	66.87	73.29	11.94	7.70
4.133	66.09	73.12	4.34	7.55
4.267	65.61	72.84	-0.27	7.63
4.600	65.11	73.02	-4.16	7.58
4.733	64.70	73.33	-6.86	7.82
4.867	64.10	73.29	-8.70	8.25
5.067	63.57	73.32	-5.87	8.58
5.267	63.05	73.45	-3.63	9.10
5.467	62.51	73.65	-7.21	8.94
6.200	62.50	73.13	-48.53	7.99
6.467	63.26	72.95	-40.47	11.29
6.667	62.66	72.53	-58.37	8.14
9.000	63.12	73.60	-46.77	8.74
9.133	63.29	74.33	-43.03	7.92
11.800	63.55	74.76	-39.23	7.53
12.067	64.08	74.75	-54.51	6.80
12.400	64.58	74.73	-66.91	6.93
12.733	64.96	74.34	-86.64	6.87
15.867	64.60	74.70	-45.88	7.22
16.667	64.27	75.11	-19.92	7.23
18.733	64.89	75.04	-26.32	8.15
19.400	65.16	74.62	-51.54	7.22
19.733	65.63	74.39	-62.24	7.45
21.733	66.23	74.45	-78.63	6.94
22.000	67.02	74.28	64.35	6.96
22.400	67.59	74.25	32.29	7.08
22.533	68.15	74.34	19.72	7.75
22.667	68.85	74.57	13.58	8.06
22.800	69.70	74.64	15.55	7.82
23.333	70.23	74.71	2.74	7.42
24.333	69.71	74.59	27.12	8.03
24.533	70.14	74.29	34.37	8.90
24.667	70.74	74.22	38.40	9.10
24.800	71.42	73.86	45.23	9.40
24.933	71.68	73.40	47.07	9.71
25.000	72.20	72.84	47.86	8.21
25.533	72.37	73.79	44.94	9.15
25.600	72.72	73.22	40.89	7.69
26.067	73.24	73.31	22.19	7.30
26.133	72.97	74.59	25.71	9.04
26.267	75.60	73.48	73.30	32.80
26.400	72.81	73.33	27.86	7.06
26.467	72.27	73.44	43.07	6.30
26.667	72.71	72.90	75.22	7.29
26.733	72.86	72.11	86.86	7.57
26.800	72.68	70.91	-81.10	7.63
26.867	72.33	69.99	-74.04	8.01
26.933	72.07	68.93	-66.63	8.29
27.000	71.80	67.40	-60.85	8.74
27.067	71.31	66.08	-65.67	8.74
27.133	70.90	64.76	-71.91	8.64
27.200	70.95	63.32	-72.58	8.63
27.267	71.26	61.92	-77.22	8.36
27.333	71.64	60.66	-87.80	8.45
27.400	71.72	59.47	81.64	8.58
27.467	72.35	58.27	81.52	8.82
27.533	73.03	56.45	81.11	9.10
27.600	73.50	54.23	82.95	8.75
27.667	73.67	51.96	87.57	8.84
27.733	73.75	50.02	-86.64	8.71
27.800	73.57	48.09	-82.06	8.13
27.867	73.29	46.24	-79.95	8.23
27.933	73.14	44.39	-79.67	8.10
28.000	72.85	42.38	-77.66	8.31
28.067	72.63	40.25	-73.51	8.26
28.133	72.37	38.02	-78.46	7.81
28.200	72.49	36.33	-81.18	8.15
28.267	72.65	34.40	-84.49	8.21
28.333	72.84	32.17	-84.24	8.11
28.400	72.72	29.98	-84.44	8.10
28.467	72.64	28.05	-80.90	8.07
28.533	72.48	26.32	-75.02	8.51
28.600	72.15	24.67	-70.95	7.95
28.667	71.54	22.77	-74.57	7.91
28.733	71.14	20.98	-73.40	7.98
28.800	70.71	19.23	-70.39	8.38
28.867	70.09	17.68	-67.09	8.36
28.933	69.60	17.30	-60.27	6.67
29.067	69.51	17.86	-43.84	6.92
29.133	68.84	17.67	-31.92	7.36
29.200	67.92	17.00	-14.49	7.48
29.267	66.09	16.65	-6.27	7.74
29.333	64.61	16.72	-1.74	8.11
29.400	62.83	16.71	5.44	7.77
29.467	61.76	16.67	11.99	8.82
29.533	61.28	16.90	17.70	9.20
29.600	59.75	17.51	23.29	6.08
29.667	60.76	17.10	23.09	9.29
29.733	59.87	17.47	22.64	8.75
29.800	58.89	17.78	20.41	8.37
29.867	57.48	17.86	18.70	7.98
29.933	56.30	17.85	13.81	8.15
30.000	54.91	18.10	9.58	8.11
30.067	53.68	18.27	4.21	5.51
30.133	55.53	17.68	10.99	8.73
30.200	56.31	17.49	15.39	7.12
30.267	56.88	17.33	27.23	6.56
30.400	57.35	17.85	44.74	7.12
30.467	57.27	18.52	59.46	7.76
30.533	57.25	19.67	69.60	8.25
30.600	57.39	20.95	77.62	8.73
30.667	57.45	22.56	82.81	7.84
30.733	57.51	23.46	86.00	8.61
30.800	57.86	24.47	84.29	9.19
30.867	58.20	25.34	87.55	9.34
30.933	58.41	26.54	-89.81	8.73
31.000	58.53	27.77	-88.27	8.45
31.333	58.92	27.10	80.01	6.79
31.467	58.39	26.77	61.27	6.91
31.667	57.39	27.07	38.67	7.43
31.733	56.33	26.92	28.30	7.63
31.867	55.67	27.09	6.25	7.81
32.067	54.09	25.84	-23.13	5.15
32.133	55.15	25.66	-20.76	7.58
32.200	54.43	25.20	-34.46	5.41
32.267	55.38	25.51	-32.62	7.87
32.400	54.81	25.04	-45.09	4.90
32.467	55.95	25.65	-42.30	6.42
32.600	56.49	24.86	-72.73	6.18
32.667	56.82	23.90	89.30	6.66
32.733	57.58	22.14	82.69	6.68
32.800	58.21	20.52	73.66	6.27
32.867	58.98	19.12	74.27	6.46
32.933	59.96	18.41	70.29	6.05
33.000	60.78	17.56	56.64	6.24
33.067	61.33	17.06	47.40	6.72
33.133	62.79	16.60	35.60	6.77
33.200	64.47	15.95	22.88	7.01
33.267	66.31	15.11	9.49	7.20
33.333	68.15	14.73	5.85	6.86
