SUBJECT: DK_729_POST_INJ_7-25-13
DATE: 25-Jul-2013

START TIME: 14:54:48

TIME_(s)	X_POSITION_(cm)	Y_POSITION_(cm)	ORIENTATION_(degrees)	LENGTH_(cm)
2.540	55.54	6.10	-45.24	7.32
4.236	54.99	7.51	6.80	6.62
4.380	54.00	9.02	43.57	7.41
4.524	52.37	12.75	58.74	7.61
4.652	51.65	16.59	70.77	7.84
4.796	51.54	21.82	83.78	7.39
4.924	52.91	28.76	-85.06	7.17
5.069	54.99	37.19	-87.58	7.42
5.196	55.81	44.46	73.86	7.43
5.340	54.82	49.73	61.35	7.34
5.485	55.06	52.13	47.41	7.41
5.613	54.98	54.58	34.77	7.04
5.757	55.20	56.05	41.64	7.33
5.964	54.93	57.48	19.49	6.94
6.092	54.06	59.05	-24.61	7.16
12.461	55.29	59.05	-68.29	7.84
12.668	56.15	50.79	-73.44	7.58
12.797	55.20	44.78	-69.05	7.13
12.940	54.95	41.66	-66.25	7.91
13.084	54.27	38.50	-56.47	7.29
13.276	54.44	36.81	-51.69	7.60
13.421	54.07	35.48	-48.21	7.19
13.628	53.72	32.29	-51.44	8.06
13.755	52.28	29.62	-50.10	7.86
13.900	51.49	27.75	-46.12	7.87
15.404	50.12	22.56	-61.88	6.56
15.548	47.85	15.11	-56.88	6.30
15.677	44.64	7.66	-45.11	6.20
15.820	40.64	3.01	-17.29	6.59
15.964	37.02	1.61	20.99	7.38
16.093	35.50	2.64	34.43	7.56
16.235	33.79	3.63	46.90	7.08
27.835	33.84	2.62	53.85	6.62
31.611	34.84	2.27	-89.24	5.56
31.883	35.90	2.79	-57.91	6.38
32.010	37.59	3.02	-32.99	7.60
32.155	41.08	2.93	-11.42	6.96
32.283	46.79	2.14	-24.03	6.80
32.427	49.88	2.40	-30.67	7.54
32.571	53.03	3.06	-54.64	7.21
32.699	54.85	3.93	-81.72	7.11
32.971	55.68	4.58	46.50	7.13
37.642	55.45	3.48	24.47	6.29
38.747	54.85	4.61	52.76	6.15
41.690	55.61	5.44	83.43	6.55
42.315	55.27	8.59	82.80	7.98
42.442	56.00	13.09	74.08	7.62
42.585	56.47	17.64	79.72	7.87
42.713	56.33	23.10	76.21	7.77
42.857	56.21	28.96	76.06	7.57
43.002	55.78	35.25	64.65	7.18
43.130	55.78	37.90	54.05	7.17
43.274	55.61	40.33	49.09	7.01
43.402	55.97	41.46	60.66	6.91
43.546	56.20	43.93	65.10	7.15
43.673	55.73	46.49	60.88	7.37
43.818	54.58	49.34	29.38	7.07
43.962	54.08	50.83	-14.06	7.23
44.442	54.44	49.74	-62.22	6.81
44.714	54.72	48.00	-62.13	6.85
44.841	55.01	46.71	-60.52	6.91
44.986	55.11	45.59	-39.34	7.20
45.321	54.98	43.84	-23.93	6.82
47.866	54.89	42.71	-46.30	6.94
48.010	53.98	41.16	-54.55	7.45
48.138	52.89	38.25	-59.19	7.71
48.282	51.81	34.58	-62.48	7.49
48.409	51.05	30.12	-64.03	7.30
48.553	50.64	26.65	-58.23	7.42
48.698	49.32	22.83	-47.58	7.14
48.826	48.11	21.25	-27.94	7.24
49.098	46.70	20.49	4.37	7.17
49.929	47.71	21.37	63.61	6.05
50.057	48.82	23.56	-77.37	7.35
50.201	51.03	28.50	-69.76	7.38
50.330	53.20	33.87	-79.35	7.18
50.474	54.64	38.99	68.85	6.69
50.617	54.15	42.15	31.80	6.97
50.746	52.09	44.06	-0.00	6.49
50.889	51.05	44.31	-27.37	7.02
55.417	52.09	44.32	-82.21	6.26
64.617	51.84	45.30	-16.85	5.35
66.120	48.15	47.52	28.74	7.54
66.264	43.97	52.28	30.99	7.65
66.392	42.04	55.82	30.31	7.20
66.537	40.36	58.46	8.10	6.65
66.665	39.07	59.30	-24.40	7.16
66.808	37.26	58.78	-46.19	7.45
67.080	36.12	57.88	-74.94	7.04
70.584	40.32	55.45	44.77	6.67
70.712	45.51	52.71	40.03	6.83
70.855	51.06	49.61	49.62	6.69
71.000	55.18	45.61	80.42	6.86
71.128	56.12	43.09	-59.89	7.33
71.335	55.32	40.79	-48.95	7.76
71.480	55.17	38.83	-45.37	7.61
71.608	55.29	37.34	-36.88	7.24
71.960	54.41	36.66	-7.55	6.42
78.328	54.70	38.25	46.40	6.55
78.472	54.17	42.40	69.60	7.06
78.615	54.93	47.24	78.58	7.33
78.743	55.95	52.23	61.26	7.23
78.888	56.02	54.75	62.76	7.86
79.016	55.64	56.72	51.20	7.55
79.496	54.66	57.87	15.28	7.71
79.784	54.87	58.93	-49.17	7.27
79.912	53.63	57.38	-75.06	6.71
80.056	53.13	56.00	82.20	7.02
80.456	54.68	54.64	79.39	6.52
80.600	55.06	53.50	-73.67	6.49
80.871	55.14	51.77	-31.54	7.07
81.144	54.66	50.74	-25.31	6.08
83.144	55.61	51.22	-18.27	5.90
83.624	55.19	50.30	-47.36	6.55
83.960	54.93	48.91	-28.60	6.70
84.311	53.57	47.13	-21.90	6.15
87.112	49.40	45.37	-18.41	7.70
87.255	46.81	45.13	-12.85	7.57
87.399	45.30	44.99	-1.60	7.57
87.799	41.39	41.90	-29.14	7.14
87.942	36.32	40.18	-21.37	7.53
88.071	31.36	38.63	-19.91	7.45
88.215	27.37	37.41	-21.98	7.56
88.359	23.57	37.20	-5.90	7.34
88.567	15.25	40.35	22.78	7.53
88.694	10.39	43.07	28.22	7.87
88.903	4.44	47.76	57.48	7.42
89.111	0.99	52.82	-73.36	6.86
89.319	2.82	55.74	-22.61	6.87
89.527	5.33	56.81	10.53	7.53
95.015	4.63	58.14	71.31	5.63
95.831	4.16	56.84	80.85	6.37
97.750	6.44	57.23	17.43	7.22
97.894	9.19	57.30	22.91	7.16
98.102	10.33	57.75	22.07	6.45
98.230	12.12	58.33	8.30	7.26
98.438	19.53	59.27	18.63	7.72
98.582	24.51	59.31	19.69	7.29
98.791	31.90	59.43	19.74	7.26
98.918	36.49	59.03	30.75	7.18
99.061	38.79	59.27	28.56	7.35
99.270	43.40	58.10	38.90	6.87
99.461	46.57	57.34	54.60	7.09
99.607	47.90	56.93	76.90	6.91
99.878	48.76	56.06	-70.57	6.94
100.630	47.73	55.93	-52.47	6.78
102.759	48.36	56.88	-59.85	5.68
103.718	48.12	55.24	-81.73	7.22
104.550	49.17	55.33	57.20	6.85
104.757	52.51	52.46	64.79	7.36
104.965	54.42	49.66	75.41	7.94
105.094	54.86	46.46	89.90	7.68
105.302	54.77	38.88	-85.79	7.38
105.446	54.75	34.07	-86.44	7.39
105.574	55.11	30.21	-87.32	7.26
105.718	55.78	26.50	-75.85	7.13
105.846	56.23	23.52	-71.48	7.35
105.990	55.73	20.72	-43.11	7.07
106.134	54.25	19.11	-32.06	7.45
106.326	52.66	17.78	-14.48	7.19
112.501	46.82	19.16	7.31	7.95
112.709	41.54	19.63	-0.30	7.63
112.853	36.18	19.27	-8.01	7.69
112.981	30.98	18.38	-13.18	7.25
113.126	25.61	16.54	-17.83	7.50
113.333	18.60	12.96	-23.58	7.41
113.461	14.71	10.47	-26.26	7.29
113.605	11.23	7.99	-29.19	7.44
113.749	8.12	5.84	-26.37	7.29
113.940	6.50	4.42	-14.39	7.40
114.229	5.45	5.05	30.95	7.29
114.356	4.69	5.71	54.65	7.32
114.502	4.40	7.20	83.30	7.50
114.630	4.77	9.03	-81.29	7.68
114.774	4.87	10.23	-74.93	7.61
115.525	6.13	10.77	-50.75	7.80
115.670	9.19	13.04	-28.73	7.89
115.798	13.05	14.78	-22.92	7.58
116.005	20.81	16.25	-11.00	7.12
116.148	27.32	15.62	0.54	7.11
116.357	37.08	12.53	10.26	7.04
116.486	43.52	10.13	-5.23	6.36
116.629	48.66	9.58	-20.14	6.66
116.757	52.11	9.05	-23.64	7.01
116.900	54.99	9.89	-63.73	6.29
117.109	55.95	13.08	64.47	7.30
117.317	55.19	15.19	42.49	7.36
117.524	54.54	16.99	26.58	6.48
117.653	53.88	17.77	8.83	6.59
117.797	53.02	18.29	-1.81	6.54
122.325	54.03	18.41	6.79	5.02
124.517	53.64	20.61	80.70	6.77
124.660	54.43	24.64	85.53	7.48
124.789	55.66	28.39	88.02	7.75
124.932	56.48	32.71	83.63	8.02
125.062	56.04	37.20	72.39	7.94
125.269	55.05	46.93	81.90	7.31
125.413	55.59	52.53	86.25	7.62
125.540	56.11	54.79	76.35	7.71
125.892	56.25	56.31	81.34	8.57
126.373	54.90	58.45	23.64	7.28
126.500	54.46	59.65	-16.65	7.23
126.644	53.25	59.15	-33.64	7.08
126.916	52.13	57.56	-59.80	7.14
127.268	51.40	56.23	-69.20	6.35
138.660	52.66	55.23	55.15	7.49
138.851	53.94	54.23	65.42	6.96
138.995	54.42	53.27	68.14	7.20
139.332	55.06	52.47	-61.13	6.59
139.619	54.30	50.15	-33.63	7.31
139.747	53.43	49.06	-24.07	6.65
145.508	53.25	47.82	-53.46	6.63
145.652	51.13	42.16	-65.06	6.98
145.796	49.43	36.09	-72.49	7.08
145.924	47.16	30.08	-65.47	7.08
146.068	43.63	24.25	-56.83	7.04
146.194	39.66	19.78	-45.50	7.47
146.338	35.73	15.50	-35.40	7.11
146.468	33.10	12.56	-40.72	7.72
146.675	30.01	8.49	-43.74	7.27
146.819	27.99	5.16	-45.33	7.07
146.962	26.77	3.62	-37.60	7.03
147.154	23.86	2.25	0.74	7.04
147.298	21.59	1.90	23.03	7.77
147.442	17.54	1.99	34.39	7.53
147.571	14.01	2.43	32.44	8.10
147.714	10.55	3.22	36.49	6.86
148.194	11.77	4.45	-59.44	6.34
148.467	12.79	4.90	-45.15	6.58
148.675	15.16	5.28	-26.50	7.42
148.803	17.72	6.14	-27.44	7.32
149.011	21.85	7.37	-45.83	6.99
149.155	24.50	9.13	-59.97	7.22
149.363	26.03	10.95	-77.89	6.99
149.571	26.79	13.02	-84.17	7.41
151.203	30.61	17.20	-55.07	7.21
151.347	34.67	22.80	-62.63	7.11
151.491	37.92	28.93	-73.85	6.99
151.683	40.51	38.19	80.60	7.16
151.891	38.35	46.26	61.02	7.47
152.035	36.01	50.32	46.39	7.91
152.243	30.47	56.23	21.62	7.26
152.451	26.01	57.98	-21.09	7.26
152.659	20.38	56.61	-47.80	7.29
152.787	18.77	55.97	-70.06	6.81
153.475	19.67	56.80	20.40	6.52
158.210	18.73	56.44	69.35	5.85
159.443	19.69	56.80	23.71	6.64
159.587	22.66	57.07	7.42	7.32
159.715	27.78	56.64	19.87	7.21
159.858	32.17	56.15	14.97	7.15
160.066	40.32	55.95	6.54	6.85
160.193	47.01	55.64	21.50	6.76
160.401	53.09	52.95	68.86	6.99
160.547	55.02	51.22	-78.03	6.84
160.675	55.95	50.00	-53.96	7.42
161.026	55.07	47.63	-31.88	7.66
161.154	54.14	46.53	-21.48	7.18
161.506	53.97	45.38	-33.75	7.37
164.658	54.43	40.48	-77.98	7.17
164.866	55.18	35.08	-83.52	7.37
165.073	56.16	29.43	-71.47	7.83
165.281	56.29	22.40	-73.69	7.66
165.490	56.23	15.19	-73.61	7.58
165.618	55.62	10.92	-75.32	7.29
165.762	55.47	7.79	-63.97	7.29
165.970	55.55	4.80	-31.93	6.96
166.162	54.65	3.75	-31.32	7.64
166.370	52.98	2.96	8.48	7.00
166.929	51.52	5.17	60.77	7.40
167.474	51.48	6.20	60.63	7.00
172.001	50.03	7.16	38.48	7.07
173.025	50.96	6.70	55.43	5.56
173.378	51.69	7.66	-87.10	6.36
173.921	50.57	7.24	39.97	6.41
175.713	51.78	6.74	-68.72	5.37
176.049	52.65	6.10	-15.11	5.56
176.466	54.95	5.68	62.16	6.53
176.673	55.60	4.66	-70.74	6.33
177.010	54.58	5.10	-23.89	6.78
177.154	52.64	4.69	-6.15	6.93
177.362	50.91	3.90	9.56	7.27
178.449	51.80	4.39	28.09	6.55
178.721	52.05	6.34	62.80	7.28
178.865	51.27	9.78	63.30	7.00
179.009	50.92	10.99	50.49	6.86
179.201	49.87	12.59	50.49	7.06
179.553	49.71	14.66	62.87	7.09
179.761	50.21	16.58	-88.48	7.11
179.969	53.29	23.04	-73.79	7.46
180.096	55.04	27.42	-86.69	7.20
180.304	55.48	32.72	60.69	7.50
180.513	54.65	36.57	47.31	7.40
180.721	55.06	38.47	60.87	7.13
180.993	54.72	41.14	66.64	7.01
181.201	55.39	45.96	79.91	7.57
181.411	55.28	50.19	69.53	7.86
181.537	55.33	52.14	77.95	8.05
181.745	55.59	54.11	78.57	9.03
181.953	55.40	56.64	86.53	8.05
182.577	54.27	56.23	23.64	6.92
182.705	51.09	57.35	-13.71	6.90
